YearPublished,MinPlayers,MaxPlayers,ComAgeRec,Kickstarted,AvgGameweight,ComAvgPlaytime,ComAvgPlaytime_log,PopularityScore,CategoryLabel,Rating
2008,2,2,7.333333333333333,0,2.4471,20.0,3.044522437723423,0.251488059460404,6,Low
1996,2,2,12.0,0,2.29395,20.0,3.044522437723423,0.3198494306214251,5,Low
1991,2,4,8.0,0,1.14085,30.0,3.4339872044851463,0.2055412530143858,0,Low
1995,1,2,12.0,0,3.1333,180.0,5.198497031265826,0.27001462703330836,3,Medium
2016,2,2,15.0,0,3.3868,1200.0,7.0909098220799835,0.34244282562850603,3,High
2012,2,2,14.0,0,3.87695,120.0,4.795790545596741,0.2637877961807676,0,High
2019,2,5,9.0,1,2.1022499999999997,30.0,3.4339872044851463,0.20065031025907393,0,Medium
2012,2,5,13.0625,0,3.8047500000000003,135.0,4.912654885736052,0.7429825498903554,2,High
1960,2,4,6.0,0,1.05755,20.0,3.044522437723423,0.23049570466376437,8,Low
2017,2,2,12.0,0,3.21705,180.0,5.198497031265826,0.3136389515908018,3,High
1810,3,3,9.666666666666666,0,3.10845,30.0,3.4339872044851463,0.5075411399989065,2,Medium
2000,2,2,12.0,0,2.4373,120.0,4.795790545596741,0.18191722348377876,3,Medium
2019,2,4,9.5,1,1.5514000000000001,90.0,4.51085950651685,0.3089151406212936,0,High
2013,4,9,10.0,0,1.3113000000000001,20.0,3.044522437723423,0.18187067216116326,0,High
2017,1,6,14.0,1,2.0541,40.0,3.713572066704308,0.2916401541494339,0,Medium
1996,1,2,16.0,0,3.28545,180.0,5.198497031265826,0.4320880407660169,3,High
2008,2,4,8.0,0,1.3418,30.0,3.4339872044851463,0.2933851324295998,0,Low
2019,1,4,10.25,1,2.3918999999999997,45.0,3.828641396489095,0.538428761826598,2,High
2008,3,7,10.0,0,2.26295,45.0,3.828641396489095,0.45134993204410223,4,Low
2015,1,2,10.0,0,2.0522,75.0,4.330733340286331,0.33538171540180983,3,High
2019,1,4,8.0,1,2.0027,60.0,4.110873864173311,0.3949979255840278,0,Medium
2021,2,8,6.0,1,2.07355,30.0,3.4339872044851463,0.27362556066249966,0,Medium
2018,2,4,10.0,0,1.1271499999999999,35.0,3.58351893845611,0.23749121149509686,0,High
2012,3,5,13.0,0,3.06435,120.0,4.795790545596741,0.39543244353902707,0,Low
0,2,6,8.0,0,1.67485,15.0,2.772588722239781,0.3396166979547675,7,Medium
2006,2,6,9.0,0,2.26295,90.0,4.51085950651685,0.435539354843651,1,Low
2017,2,8,12.625,0,1.3897,70.0,4.2626798770413155,0.46979576056239875,0,High
1979,2,2,16.0,0,4.31105,360.0,5.8888779583328805,0.23619443504697285,3,Low
2011,3,12,7.645161290322581,0,1.3272,30.0,3.4339872044851463,0.7792313311373137,7,High
2016,2,4,15.0,1,2.31475,37.5,3.6506582412937387,0.26782104107124566,0,Medium
2010,3,6,9.0,0,2.1458500000000003,105.0,4.663439094112067,0.27750882344566863,0,Medium
2001,2,6,8.0,0,1.6399,60.0,4.110873864173311,0.2689288918532986,0,Medium
2014,2,5,8.0,0,1.8292000000000002,25.0,3.258096538021482,0.33161086739256557,4,Low
